step,s_loss,c_loss
445,21286812.0,33608.547
446,21168422.0,33598.367
447,21050874.0,33588.11
448,20934114.0,33577.895
449,20818156.0,33568.08
450,20702910.0,33558.156
451,20588654.0,33548.51
452,20475036.0,33539.113
453,20362286.0,33530.4
454,20250704.0,33522.195
455,20140208.0,33513.82
456,20030812.0,33505.32
457,19922494.0,33496.805
458,19814714.0,33488.1
459,19707772.0,33479.367
460,19601704.0,33470.14
461,19496592.0,33461.008
462,19392550.0,33451.945
463,19289776.0,33442.37
464,19188112.0,33432.117
465,19087436.0,33420.785
466,18987556.0,33408.625
467,18888542.0,33395.7
468,18790466.0,33382.855
469,18693066.0,33369.832
470,18596554.0,33356.93
471,18500950.0,33344.508
472,18406320.0,33332.047
473,18312186.0,33319.68
474,18218412.0,33307.58
475,18125420.0,33296.254
476,18032980.0,33285.406
477,17941538.0,33274.83
478,17850760.0,33264.746
479,17760756.0,33254.844
480,17671568.0,33245.17
481,17583276.0,33235.586
482,17495744.0,33226.34
483,17408768.0,33216.836
484,17322500.0,33207.086
485,17236766.0,33197.01
486,17151720.0,33186.76
487,17067376.0,33176.11
488,16983734.0,33164.875
489,16900750.0,33153.746
490,16818360.0,33142.703
491,16736580.0,33131.375
492,16655439.0,33120.34
493,16575076.0,33109.82
494,16495554.0,33099.875
495,16416888.0,33090.18
496,16338981.0,33080.727
497,16261651.0,33071.34
498,16184978.0,33061.695
499,16108946.0,33052.125
500,16033500.0,33042.21
501,15958668.0,33032.445
502,15884487.0,33022.914
503,15810805.0,33013.05
504,15737590.0,33003.1
505,15664814.0,32992.78
506,15592413.0,32982.0
507,15520699.0,32970.984
508,15449460.0,32959.902
509,15378740.0,32948.625
510,15308513.0,32937.258
511,15238723.0,32926.125
512,15169337.0,32915.207
513,15100409.0,32904.074
514,15032137.0,32892.56
515,14964464.0,32880.746
516,14897331.0,32869.07
517,14830760.0,32856.973
518,14764760.0,32844.797
519,14699292.0,32832.51
520,14634391.0,32819.73
521,14570180.0,32806.746
522,14506449.0,32793.85
523,14443365.0,32780.93
524,14380703.0,32767.902
525,14318510.0,32754.902
526,14256843.0,32741.951
527,14195564.0,32729.367
528,14134689.0,32717.363
529,14074171.0,32705.354
530,14013952.0,32693.4
531,13954231.0,32681.395
532,13894902.0,32669.334
533,13835935.0,32657.309
534,13777242.0,32645.318
535,13718852.0,32633.281
536,13660826.0,32621.21
537,13603098.0,32609.008
538,13545636.0,32596.91
539,13488576.0,32584.93
540,13431871.0,32573.295
541,13375562.0,32561.773
542,13319694.0,32550.23
543,13264175.0,32538.676
544,13208900.0,32527.115
545,13153980.0,32515.438
546,13099435.0,32503.557
547,13045217.0,32491.709
548,12991404.0,32479.89
549,12937978.0,32468.05
550,12884858.0,32456.197
551,12832071.0,32444.29
552,12779664.0,32432.707
553,12727678.0,32421.201
554,12676040.0,32409.662
555,12624836.0,32398.207
556,12574078.0,32386.713
557,12523780.0,32375.352
558,12473900.0,32364.375
559,12424572.0,32353.684
560,12375693.0,32343.133
561,12327200.0,32332.73
562,12279188.0,32322.031
563,12231673.0,32311.102
564,12184593.0,32300.166
565,12137830.0,32289.072
566,12091376.0,32277.926
567,12045306.0,32266.908
568,11999664.0,32255.604
569,11954345.0,32243.93
570,11909297.0,32231.787
571,11864557.0,32219.416
572,11820065.0,32206.795
573,11775918.0,32194.053
574,11732164.0,32181.115
575,11688830.0,32167.926
576,11645813.0,32154.625
